IDENTIFICADOR;NOMBRE;NOMBRE;OPERACION
12345;papa;alimento comentible;2000
12346;papa;alimento comentible;2000
12347;papa;alimento comentible;2000
12348;papa;alimento comentible;2000
12349;papa;alimento comentible;2000
12350;papa;alimento comentible;2000
12351;papa;alimento rico;10000
12352;arroz;alimento rico;10000
12353;arroz;alimento rico;10000
12354;arroz;alimento rico;10000
12355;arroz;alimento rico;10000
12356;arroz;alimento rico;10000
12357;arroz;alimento rico;10000
12358;arroz;alimento rico;10000
12359;arroz;alimento rico;10000
12360;cebolla;alimento comible;1500
12361;cebolla;alimento comible;1500
12362;cebolla;alimento comible;1500
12363;cebolla;alimento comible;1500
12364;cebolla;alimento comible;1500
12365;cebolla;alimento comible;1500
